name,name_fr,FIFA,IOC,currency_alphabetic_code,currency_country_name,currency_name
Russia,"Russie, Fédération de",RUS,RUS,RUB,RUSSIAN FEDERATION,Russian Ruble
Rwanda,Rwanda,RWA,RWA,RWF,RWANDA,Rwanda Franc
Reunion,Reunion,REU,REU,EUR,RÉUNION,Euro
"Saint Helena, Ascension and Tristan da Cunha","Sainte-Hélène, Ascension et Tristan da Cunha",SHN,HEL,SHP,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",Saint Helena Pound
Saint Kitts and Nevis,Saint-Kitts-Et-Nevis,SKN,SKN,XCD,SAINT KITTS AND NEVIS,East Caribbean Dollar
Saint Lucia,Sainte-Lucie,LCA,LCA,XCD,SAINT LUCIA,East Caribbean Dollar
Saint Pierre and Miquelon,Saint-Pierre-Et-Miquelon,SPM,SPM,EUR,SAINT PIERRE AND MIQUELON,Euro
Saint Vincent and the Grenadines,Saint-Vincent-Et-Les Grenadines,VIN,VIN,XCD,SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar
Samoa,Samoa,SAM,SAM,WST,SAMOA,Tala
San Marino,Saint-Marin,SMR,SMR,EUR,SAN MARINO,Euro
Sao Tome and Principe,Sao Tomé-Et-Principe,STP,STP,STD,SAO TOME AND PRINCIPE,Dobra
Saudi Arabia,Arabie Saoudite,KSA,KSA,SAR,SAUDI ARABIA,Saudi Riyal
Senegal,Sénégal,SEN,SEN,XOF,SENEGAL,CFA Franc BCEAO
Serbia,Serbie,SRB,SRB,RSD,SERBIA,Serbian Dinar
Seychelles,Seychelles,SEY,SEY,SCR,SEYCHELLES,Seychelles Rupee
Sierra Leone,Sierra Leone,SLE,SLE,SLL,SIERRA LEONE,Leone
Singapore,Singapour,SIN,SIN,SGD,SINGAPORE,Singapore Dollar
Sint Maarten,Saint-Martin (Partie Néerlandaise),,,ANG,SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder
Slovakia,Slovaquie,SVK,SVK,EUR,SLOVAKIA,Euro
Slovenia,Slovénie,SVN,SLO,EUR,SLOVENIA,Euro
Solomon Islands,"Salomon, Îles",SOL,SOL,SBD,SOLOMON ISLANDS,Solomon Islands Dollar
Somalia,Somalie,SOM,SOM,SOS,SOMALIA,Somali Shilling
South Africa,Afrique du Sud,RSA,RSA,ZAR,SOUTH AFRICA,Rand
South Georgia and the South Sandwich Islands,Géorgie du Sud-Et-Les Îles Sandwich du Sud,, ,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,No universal currency
South Sudan,Soudan du Sud,,,SSP,SOUTH SUDAN,South Sudanese Pound
Spain,Espagne,ESP,ESP,EUR,SPAIN,Euro
Sri Lanka,Sri Lanka,SRI,SRI,LKR,SRI LANKA,Sri Lanka Rupee
Sudan,Soudan,SUD,SUD,SDG,SUDAN,Sudanese Pound
Suriname,Suriname,SUR,SUR,SRD,SURINAME,Surinam Dollar
Swaziland,Swaziland,SWZ,SWZ,SZL,SWAZILAND,Lilangeni
Sweden,Suède,SWE,SWE,SEK,SWEDEN,Swedish Krona
Switzerland,Suisse,SUI,SUI,CHF,SWITZERLAND,Swiss Franc
Syria,"Syrienne, République Arabe",SYR,SYR,SYP,SYRIAN ARAB REPUBLIC,Syrian Pound
Taiwan,"Taïwan, Province de Chine",TPE,TPE,TWD,"TAIWAN, PROVINCE OF CHINA",New Taiwan Dollar
Tajikistan,Tadjikistan,TJK,TJK,TJS,TAJIKISTAN,Somoni
Tanzania,"Tanzanie, République-Unie de",TAN,TAN,TZS,"TANZANIA, UNITED REPUBLIC OF",Tanzanian Shilling
Thailand,Thaïlande,THA,THA,THB,THAILAND,Baht
East Timor,Timor-Leste,TLS,TLS,USD,TIMOR-LESTE,US Dollar
Togo,Togo,TOG,TOG,XOF,TOGO,CFA Franc BCEAO
Tokelau,Tokelau,TKL, ,NZD,TOKELAU,New Zealand Dollar
Tonga,Tonga,TGA,TGA,TOP,TONGA,Pa’anga
Trinidad and Tobago,Trinité-Et-Tobago,TRI,TTO,TTD,TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar
Tunisia,Tunisie,TUN,TUN,TND,TUNISIA,Tunisian Dinar
Turkey,Turquie,TUR,TUR,TRY,TURKEY,Turkish Lira
Turkmenistan,Turkménistan,TKM,TKM,TMT,TURKMENISTAN,Turkmenistan New Manat
Turks and Caicos Islands,"Turks-Et-Caïcos, Îles",TCA,TKS,USD,TURKS AND CAICOS ISLANDS,US Dollar
Tuvalu,Tuvalu,TUV,TUV,AUD,TUVALU,Australian Dollar
Uganda,Ouganda,UGA,UGA,UGX,UGANDA,Uganda Shilling
Ukraine,Ukraine,UKR,UKR,UAH,UKRAINE,Hryvnia
United Arab Emirates,Émirats Arabes Unis,UAE,UAE,AED,UNITED ARAB EMIRATES,UAE Dirham
United Kingdom,Royaume-Uni,"ENG,NIR,SCO,WAL",GBR,GBP,UNITED KINGDOM,Pound Sterling
United States,États-Unis,USA,USA,USD,UNITED STATES,US Dollar
Uruguay,Uruguay,URU,URU,UYU,URUGUAY,Peso Uruguayo
Uzbekistan,Ouzbékistan,UZB,UZB,UZS,UZBEKISTAN,Uzbekistan Sum
Vanuatu,Vanuatu,VAN,VAN,VUV,VANUATU,Vatu
Venezuela,"Venezuela, République Bolivarienne du",VEN,VEN,VEF,"VENEZUELA, BOLIVARIAN REPUBLIC OF",Bolivar
Vietnam,Viet Nam,VIE,VIE,VND,VIET NAM,Dong
"Virgin Islands, British",Îles Vierges Britanniques,VGB,IVB,USD,VIRGIN ISLANDS (BRITISH),US Dollar
"Virgin Islands, U.S.",Îles Vierges des États-Unis,VIR,ISV,USD,VIRGIN ISLANDS (U.S.),US Dollar
Wallis and Futuna,Wallis et Futuna,WLF,WAF,XPF,WALLIS AND FUTUNA,CFP Franc
Western Sahara,Sahara Occidental,SAH, ,MAD,WESTERN SAHARA,Moroccan Dirham
Yemen,Yémen,YEM,YEM,YER,YEMEN,Yemeni Rial
Zambia,Zambie,ZAM,ZAM,ZMW,ZAMBIA,Zambian Kwacha
Zimbabwe,Zimbabwe,ZIM,ZIM,ZWD,ZIMBABWE,Zimbabwe Dollar
Åland Islands,"Åland, Îles",ALD, ,EUR,ÅLAND ISLANDS,Euro
