,airportcode,airportcodecopy,airport,city,country,lat,long,currencycode,toeuro,fromeuro
56,GHU,GHU,Gualeguaychu,Gualeguaychu,Argentina,-33.010278,-58.61305600000001,ARS,0.1081,9.2657
57,PRA,PRA,General Urquiza,Parana,Argentina,-31.794778000000004,-60.480361,ARS,0.1081,9.2657
58,ROS,ROS,Rosario,Rosario,Argentina,-32.903611,-60.785,ARS,0.1081,9.2657
59,SFN,SFN,Sauce Viejo,Santa Fe,Argentina,-31.711665999999997,-60.811668000000004,ARS,0.1081,9.2657
60,AEP,AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina,-34.559175,-58.415606000000004,ARS,0.1081,9.2657
61,COR,COR,Ambrosio L V Taravella,Cordoba,Argentina,-31.323619,-64.207953,ARS,0.1081,9.2657
62,LPG,LPG,La Plata,La Plata,Argentina,-34.972221999999995,-57.894693999999994,ARS,0.1081,9.2657
63,MDZ,MDZ,El Plumerillo,Mendoza,Argentina,-32.831717,-68.792856,ARS,0.1081,9.2657
64,LGS,LGS,Malargue,Malargue,Argentina,-35.493596999999994,-69.574267,ARS,0.1081,9.2657
65,AFA,AFA,San Rafael,San Rafael,Argentina,-34.588314000000004,-68.40385400000001,ARS,0.1081,9.2657
66,CTC,CTC,Catamarca,Catamarca,Argentina,-28.593214,-65.750925,ARS,0.1081,9.2657
67,SDE,SDE,Santiago Del Estero,Santiago Del Estero,Argentina,-27.765617,-64.31012199999999,ARS,0.1081,9.2657
68,IRJ,IRJ,La Rioja,La Rioja,Argentina,-29.381636,-66.795839,ARS,0.1081,9.2657
69,TUC,TUC,Teniente Benjamin Matienzo,Tucuman,Argentina,-26.840861,-65.10494399999999,ARS,0.1081,9.2657
70,UAQ,UAQ,San Juan,San Julian,Argentina,-31.571471999999996,-68.418194,ARS,0.1081,9.2657
71,RCU,RCU,Rio Cuarto Area De Material,Rio Cuarto,Argentina,-33.085128000000005,-64.261314,ARS,0.1081,9.2657
72,VDR,VDR,Villa Dolores,Villa Dolores,Argentina,-31.945183,-65.146283,ARS,0.1081,9.2657
73,LUQ,LUQ,San Luis,San Luis,Argentina,-33.273192,-66.356422,ARS,0.1081,9.2657
74,CNQ,CNQ,Corrientes,Corrientes,Argentina,-27.445503000000002,-58.761864,ARS,0.1081,9.2657
75,RES,RES,Resistencia,Resistencia,Argentina,-27.449986,-59.056125,ARS,0.1081,9.2657
76,FMA,FMA,Formosa,Formosa,Argentina,-26.212722,-58.228111,ARS,0.1081,9.2657
77,IGR,IGR,Cataratas Del Iguazu,Iguazu Falls,Argentina,-25.737281,-54.47344399999999,ARS,0.1081,9.2657
78,AOL,AOL,Paso De Los Libres,Paso De Los Libres,Argentina,-29.689425,-57.152078,ARS,0.1081,9.2657
79,PSS,PSS,Posadas,Posadas,Argentina,-27.385839,-55.970728,ARS,0.1081,9.2657
80,SLA,SLA,Salta,Salta,Argentina,-24.855978,-65.48616899999999,ARS,0.1081,9.2657
81,JUJ,JUJ,Jujuy,Jujuy,Argentina,-24.392778,-65.097778,ARS,0.1081,9.2657
82,ORA,ORA,Oran,Oran,Argentina,-23.152779000000002,-64.32916999999999,ARS,0.1081,9.2657
83,EHL,EHL,El Bolson,El Bolson,Argentina,-41.943189000000004,-71.532289,ARS,0.1081,9.2657
84,CRD,CRD,Comodoro Rivadavia,Comodoro Rivadavia,Argentina,-45.785346999999994,-67.465508,ARS,0.1081,9.2657
85,EQS,EQS,Esquel,Esquel,Argentina,-42.90795,-71.139472,ARS,0.1081,9.2657
86,REL,REL,Almirante Zar,Trelew,Argentina,-43.2105,-65.270319,ARS,0.1081,9.2657
87,VDM,VDM,Gobernador Castello,Viedma,Argentina,-40.869222,-63.000389,ARS,0.1081,9.2657
88,PMY,PMY,El Tehuelche,Puerto Madryn,Argentina,-42.759161,-65.102725,ARS,0.1081,9.2657
89,PUD,PUD,Puerto Deseado,Puerto Deseado,Argentina,-47.735292,-65.904097,ARS,0.1081,9.2657
90,RGA,RGA,Rio Grande,Rio Grande,Argentina,-53.777667,-67.74938900000001,ARS,0.1081,9.2657
91,RGL,RGL,Rio Gallegos,Rio Gallegos,Argentina,-51.608875,-69.312636,ARS,0.1081,9.2657
92,USH,USH,Ushuaia Malvinas Argentinas,Ushuaia,Argentina,-54.843278000000005,-68.29575,ARS,0.1081,9.2657
93,ULA,ULA,San Julian,San Julian,Argentina,-49.306775,-67.802589,ARS,0.1081,9.2657
